loss;miou;set
0.6403882503509521;0.4;train
0.5324380993843079;0.47;train
0.5085024833679199;0.52;train
0.3748762607574463;0.55;train
0.36455661058425903;0.59;train
0.3483431339263916;0.61;train
0.3362293243408203;0.63;train
0.31513527035713196;0.65;train
0.3097541332244873;0.67;train
0.2895916998386383;0.69;train
0.23212984204292297;0.7;train
0.2578919529914856;0.71;train
0.2642418444156647;0.72;train
0.22074802219867706;0.73;train
0.1959146112203598;0.74;train
0.20713356137275696;0.75;train
0.19888004660606384;0.75;train
0.17985981702804565;0.76;train
0.15550774335861206;0.77;train
0.15992935001850128;0.77;train
0.15036819875240326;0.78;train
0.16310855746269226;0.78;train
0.1471300721168518;0.79;train
0.1518120914697647;0.79;train
0.13933208584785461;0.8;train
0.14169588685035706;0.8;train
0.1506126970052719;0.81;train
0.14514751732349396;0.81;train
0.13162094354629517;0.81;train
0.1313718855381012;0.81;train
0.13382431864738464;0.82;train
0.12366144359111786;0.82;train
0.1357463151216507;0.82;train
0.1285584568977356;0.82;train
0.12392706423997879;0.83;train
0.1123773381114006;0.83;train
0.10832050442695618;0.83;train
0.1075996607542038;0.83;train
0.13850906491279602;0.83;train
0.09972813725471497;0.84;train
0.7300003170967102;0.4;val
0.5004406571388245;0.52;val
0.3900229036808014;0.59;val
0.41889259219169617;0.6;val
0.4316776692867279;0.6;val
0.5003196001052856;0.61;val
0.3505706787109375;0.62;val
0.46191173791885376;0.63;val
0.5831214189529419;0.62;val
0.6076916456222534;0.62;val
0.6360716819763184;0.62;val
0.4673404097557068;0.63;val
0.3998376727104187;0.62;val
0.550190269947052;0.62;val
0.8906867504119873;0.62;val
0.4591776430606842;0.61;val
0.8755968809127808;0.61;val
0.655767560005188;0.62;val
0.6048859357833862;0.62;val
0.7177855372428894;0.61;val
