loss;miou;set
0.6104435324668884;0.42;train
0.4715382158756256;0.51;train
0.4561387300491333;0.55;train
0.36988565325737;0.58;train
0.42303621768951416;0.61;train
0.3969969153404236;0.63;train
0.3234028220176697;0.65;train
0.31144681572914124;0.66;train
0.28369513154029846;0.68;train
0.2999657094478607;0.69;train
0.2280340939760208;0.7;train
0.22442609071731567;0.72;train
0.21746152639389038;0.73;train
0.21640454232692719;0.74;train
0.18551427125930786;0.74;train
0.1885991394519806;0.75;train
0.18498386442661285;0.76;train
0.18599563837051392;0.76;train
0.1763361096382141;0.77;train
0.1715301126241684;0.78;train
0.15522360801696777;0.78;train
0.14374688267707825;0.79;train
0.16718542575836182;0.79;train
0.14144089818000793;0.79;train
0.13673940300941467;0.8;train
0.1282724142074585;0.8;train
0.12684135138988495;0.8;train
0.13510261476039886;0.81;train
0.12435860931873322;0.81;train
0.12615206837654114;0.81;train
0.1253148317337036;0.82;train
0.13335075974464417;0.82;train
0.11018697172403336;0.82;train
0.12017569690942764;0.83;train
0.11630456894636154;0.83;train
0.120465949177742;0.83;train
0.12140295654535294;0.83;train
0.11108042299747467;0.83;train
0.11734578013420105;0.84;train
0.10295387357473373;0.84;train
0.5430017113685608;0.46;val
0.45876598358154297;0.56;val
0.4787510335445404;0.56;val
0.47150999307632446;0.6;val
0.37452393770217896;0.62;val
0.4117888808250427;0.62;val
0.5936290621757507;0.63;val
0.530671238899231;0.63;val
0.45019540190696716;0.63;val
0.5336074233055115;0.63;val
0.48613739013671875;0.63;val
0.6400090456008911;0.63;val
0.620969295501709;0.63;val
0.4276082217693329;0.63;val
0.6580794453620911;0.63;val
0.48981615900993347;0.62;val
0.5903515815734863;0.62;val
0.7395444512367249;0.62;val
0.6328068971633911;0.62;val
0.512519359588623;0.62;val
