loss;miou;set
1.1078922748565674;0.27;train
0.9756755232810974;0.41;train
0.9311977028846741;0.43;train
0.8805851340293884;0.45;train
0.8054714798927307;0.46;train
0.7768911123275757;0.48;train
0.7024985551834106;0.49;train
0.7031673192977905;0.5;train
0.6651440262794495;0.52;train
0.6087097525596619;0.53;train
0.590047299861908;0.54;train
0.5747106075286865;0.55;train
0.5188908576965332;0.57;train
0.46151527762413025;0.58;train
0.475700318813324;0.59;train
0.4804147779941559;0.6;train
0.4850243926048279;0.6;train
0.4639832377433777;0.61;train
0.43087315559387207;0.62;train
0.43753573298454285;0.62;train
0.45113280415534973;0.62;train
0.40412893891334534;0.63;train
0.40016549825668335;0.63;train
0.38280177116394043;0.64;train
0.402240127325058;0.64;train
0.36445483565330505;0.65;train
0.35709524154663086;0.65;train
0.36321622133255005;0.65;train
0.3472795784473419;0.65;train
0.33882665634155273;0.66;train
0.3494946360588074;0.66;train
0.3567999303340912;0.66;train
0.31813517212867737;0.66;train
0.32392534613609314;0.67;train
0.3215303122997284;0.67;train
0.3168831765651703;0.67;train
0.33788830041885376;0.67;train
0.32372230291366577;0.67;train
0.30451157689094543;0.67;train
0.3053392469882965;0.67;train
1.3846780061721802;0.33;val
1.1961312294006348;0.35;val
1.199559211730957;0.37;val
0.9681494832038879;0.34;val
1.2678098678588867;0.37;val
0.979791522026062;0.36;val
0.8747089505195618;0.41;val
0.8408874273300171;0.41;val
1.1003679037094116;0.41;val
1.1330485343933105;0.41;val
0.874403178691864;0.42;val
0.9869830012321472;0.41;val
1.010331392288208;0.41;val
0.8042455911636353;0.42;val
0.984990656375885;0.42;val
1.1301889419555664;0.4;val
1.3574395179748535;0.41;val
1.2318120002746582;0.41;val
1.053438425064087;0.41;val
1.1678937673568726;0.41;val
