epoch,loss,mIoU
0,0.7440139651298523,0.35,train
1,0.7084754109382629,0.37,train
2,0.7119885087013245,0.38,train
3,0.7418763041496277,0.38,train
4,0.7062256932258606,0.38,train
0,0.8582305908203125,0.34,val
1,0.7244430184364319,0.37,val
2,0.7397593259811401,0.37,val
3,0.7396569848060608,0.37,val
4,0.8199940323829651,0.37,val
