epoch,loss,mIoU
0,0.44807159900665283,0.45,train
1,0.3823176622390747,0.53,train
2,0.37359097599983215,0.54,train
3,0.38343775272369385,0.54,train
4,0.3893038332462311,0.54,train
0,0.45645081996917725,0.51,val
1,0.4481414258480072,0.52,val
2,0.38183319568634033,0.53,val
3,0.45851224660873413,0.53,val
4,0.4101455807685852,0.53,val
