model,train/loss,train/mClassAcc,train/mAcc,val/loss,val/mClassAcc,val/mAcc,test/loss,test/mClassAcc,test/mAcc
DCNN_opt,"(1.9324854612350464, 1.8493976593017578, 2.2483503818511963, 1.9272195100784302, 1.4265059232711792, 1.6020203828811646, 1.5569640398025513, 1.4183558225631714, 1.1238374710083008, 1.4777793884277344)","(0.1608658220618963, 0.26806542128324506, 0.305061000585556, 0.32699946910142896, 0.3432251334190369, 0.365948224067688, 0.38767134994268415, 0.3947943940758705, 0.40406434237957, 0.418757201731205)","(0.1612, 0.268, 0.3046, 0.3267, 0.3433, 0.3658, 0.3879, 0.3949, 0.4044, 0.4192)","(2.0171828269958496, 1.627102255821228, 1.7050987482070923, 1.584604263305664, 1.6239451169967651, 2.1115942001342773, 1.8098653554916382, 1.1579126119613647, 1.4178422689437866, 1.5026613473892212)","(0.28926125876605513, 0.3656675904989243, 0.37932315096259117, 0.3913742400705814, 0.4259218439459801, 0.431481072306633, 0.4563119515776634, 0.464966344833374, 0.46778530776500704, 0.474175363779068)","(0.2879, 0.3658, 0.381, 0.3917, 0.4267, 0.4312, 0.4572, 0.4649, 0.4688, 0.4744)",1.4450499467849731,0.4809000059962273,0.4809
DNCNN_opt,"(1.811194896697998, 1.3468042612075806, 1.3177413940429688, 1.0937354564666748, 1.6762179136276245, 1.6425760984420776, 1.526200771331787, 1.6384479999542236, 1.0400404930114746, 1.2555320262908936)","(0.27994204461574557, 0.3741248294711113, 0.41459891200065613, 0.4386896759271622, 0.45434496402740476, 0.4779485076665878, 0.4888971775770187, 0.5041239023208618, 0.5066946536302567, 0.5173692554235458)","(0.2804, 0.3742, 0.4149, 0.4389, 0.4544, 0.4781, 0.4891, 0.5044, 0.5073, 0.5178)","(1.8527495861053467, 1.24483323097229, 2.060962677001953, 1.608936071395874, 1.2747859954833984, 1.5781258344650269, 1.3860156536102295, 1.1617515087127686, 1.3619402647018433, 1.1674156188964844)","(0.3822071522474289, 0.40301636680960656, 0.3075166195631027, 0.41833247914910315, 0.44515334665775297, 0.4996522098779678, 0.5151284307241439, 0.5187636256217957, 0.5139599502086639, 0.5488963931798935)","(0.3833, 0.4027, 0.3079, 0.4165, 0.4454, 0.5, 0.5142, 0.5184, 0.5144, 0.5481)",1.241260486984253,0.5436999946832657,0.5437
VTS,"(2.1181819438934326, 2.208814859390259, 2.261986017227173, 2.2806544303894043, 2.3068974018096924, 2.319831371307373, 2.3698322772979736, 2.222480058670044, 2.169658899307251, 2.227092742919922)","(0.15735576748847963, 0.17021648734807968, 0.17365344073623418, 0.15513961017131805, 0.14375176653265953, 0.15222845114767553, 0.1394669396802783, 0.1403234388679266, 0.1508845964446664, 0.16287151239812375)","(0.158, 0.1714, 0.1758, 0.1568, 0.1454, 0.1541, 0.1407, 0.1417, 0.152, 0.1645)","(2.177267551422119, 2.1989474296569824, 2.1056370735168457, 2.2816922664642334, 2.2269043922424316, 2.1913681030273438, 2.2641942501068115, 2.2285494804382324, 2.273526906967163, 2.268070697784424)","(0.1746566466987133, 0.17550271190702915, 0.17765990141779184, 0.16830266565084456, 0.17081832652911544, 0.17087171729654074, 0.14728698860853912, 0.16929497569799423, 0.18167938850820065, 0.20034337593242527)","(0.1746, 0.175, 0.1772, 0.1676, 0.1705, 0.1707, 0.1469, 0.1694, 0.1815, 0.1997)",2.189459047698975,0.2002000001259148,0.2002
VTD,"(2.3089940547943115, 2.3015942573547363, 2.3115954399108887, 2.301558494567871, 2.305182695388794, 2.292192220687866, 2.2961788177490234, 2.2964298725128174, 2.2998294830322266, 2.3065197467803955)","(0.09534702431410551, 0.10189727395772934, 0.09632443115115166, 0.09758870750665664, 0.09783740043640136, 0.0992011621594429, 0.09594914084300399, 0.09487849846482277, 0.0933588795363903, 0.09727763533592224)","(0.0966, 0.1043, 0.0986, 0.1005, 0.1001, 0.1021, 0.0983, 0.0978, 0.0956, 0.1)","(2.290602684020996, 2.2993040084838867, 2.292431116104126, 2.302884578704834, 2.3127729892730713, 2.305663585662842, 2.3055689334869385, 2.3085525035858154, 2.2993409633636475, 2.29962158203125)","(0.1, 0.1, 0.1, 0.10032420074567198, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1)","(0.1003, 0.1003, 0.098, 0.1019, 0.098, 0.0952, 0.098, 0.0952, 0.0952, 0.0952)",2.3028232791900636,0.1,0.1
VTDR,"(283.51019287109375, 87.13569641113281, 152.39614868164062, 65.65150451660156, 72.77445983886719, 70.11324310302734, 109.33894348144531, 80.38615417480469, 55.77097702026367, 58.294612884521484)","(0.17618694007396699, 0.22324654906988145, 0.246627838909626, 0.2563289016485214, 0.25532083213329315, 0.2612697005271912, 0.26951737701892853, 0.2789644986391068, 0.2894496574997902, 0.2898925572633743)","(0.1764, 0.2235, 0.2468, 0.2564, 0.2554, 0.2614, 0.2695, 0.2789, 0.2896, 0.2897)","(108.85936737060547, 289.45330810546875, 88.14041137695312, 47.54875946044922, 69.40997314453125, 96.40235900878906, 74.03520965576172, 107.62840270996094, 61.373531341552734, 71.58230590820312)","(0.23510783007368447, 0.2545979768037796, 0.292465515434742, 0.3085350651293993, 0.3224109973758459, 0.29649446830153464, 0.32099383845925333, 0.3423842653632164, 0.31544739902019503, 0.2780313029885292)","(0.2357, 0.2559, 0.2946, 0.308, 0.322, 0.2979, 0.3217, 0.344, 0.3168, 0.2764)",79.96526865234375,0.2770000033080578,0.277
VTS_opt,"(2.3546736240386963, 2.1943891048431396, 2.3851077556610107, 2.364003896713257, 2.3080644607543945, 2.385078191757202, 2.3559696674346924, 2.2630274295806885, 2.2656259536743164, 2.2772912979125977)","(0.12640102580189705, 0.12614678591489792, 0.14516370743513107, 0.13904035314917565, 0.14779649898409844, 0.13748373612761497, 0.14144962802529334, 0.15038135796785354, 0.16229112222790718, 0.15649262741208075)","(0.1269, 0.1263, 0.1462, 0.1402, 0.1489, 0.1387, 0.1423, 0.1513, 0.163, 0.1572)","(2.214358329772949, 2.4245994091033936, 2.1558876037597656, 2.148102283477783, 2.3239359855651855, 2.220182418823242, 2.102621555328369, 2.0782876014709473, 2.003948926925659, 1.9447565078735352)","(0.16415790114551781, 0.20830183802172542, 0.17977575371041893, 0.17011141339316965, 0.18608767541591079, 0.20957096080528573, 0.19868778437376022, 0.2054246688261628, 0.22218174748122693, 0.21182993240654469)","(0.1651, 0.2074, 0.18, 0.1702, 0.1859, 0.2099, 0.1991, 0.205, 0.2229, 0.2126)",2.1629763332366942,0.2163999982178211,0.2164
VTD_opt,"(2.316525936126709, 2.300074338912964, 2.3000447750091553, 2.307220697402954, 2.301194429397583, 2.3018248081207275, 2.2990522384643555, 2.3113365173339844, 2.3012657165527344, 2.3047609329223633)","(0.10315379425883293, 0.09609117694199085, 0.09643179140985011, 0.10044407248497009, 0.09337993077933789, 0.09781036674976348, 0.09872638881206512, 0.09774046633392572, 0.09812693782150746, 0.09820033311843872)","(0.1048, 0.0985, 0.0985, 0.1031, 0.0959, 0.1007, 0.1018, 0.1005, 0.1, 0.1009)","(2.319274663925171, 2.3005824089050293, 2.304325580596924, 2.302201271057129, 2.30226993560791, 2.3062498569488525, 2.2941112518310547, 2.3063790798187256, 2.3011531829833984, 2.300226926803589)","(0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1)","(0.098, 0.0952, 0.1003, 0.0952, 0.0952, 0.098, 0.098, 0.098, 0.098, 0.098)",2.3028090850830076,0.1,0.1
VTDR_opt,"(266.39056396484375, 154.06484985351562, 100.9686279296875, 108.40745544433594, 105.867919921875, 83.52855682373047, 74.14787292480469, 64.7938232421875, 52.478302001953125, 58.1341552734375)","(0.18268513530492783, 0.21101359128952027, 0.23966269493103026, 0.2412567600607872, 0.2480013519525528, 0.2510641947388649, 0.25806633830070497, 0.25988990217447283, 0.2746735394001007, 0.2673164904117584)","(0.1828, 0.2112, 0.2399, 0.2415, 0.248, 0.2514, 0.2581, 0.2599, 0.2746, 0.2674)","(348.7923889160156, 119.76924896240234, 176.77859497070312, 210.43821716308594, 84.2374267578125, 107.19711303710938, 112.90924072265625, 70.52799224853516, 98.37476348876953, 93.75696563720703)","(0.18896824594121425, 0.2613959848880768, 0.2506870303303003, 0.25006395373493434, 0.2649567602202296, 0.2818329862318933, 0.3059216409921646, 0.2983613308519125, 0.2994457475841045, 0.29068939238786695)","(0.1928, 0.2614, 0.2503, 0.2489, 0.2662, 0.2815, 0.3075, 0.2971, 0.2989, 0.29)",70.54909689941407,0.2913999989628791,0.2914
RN18,"(1.4071791172027588, 1.8784832954406738, 1.4138474464416504, 1.368383526802063, 1.7458099126815796, 1.8001697063446045, 1.0340001583099365, 1.4146076440811157, 0.9355460405349731, 0.9616164565086365)","(0.322651369869709, 0.4110476702451706, 0.4729629456996918, 0.5028549611568451, 0.5474405467510224, 0.5647662162780762, 0.5956799119710923, 0.6215212672948838, 0.6428823113441468, 0.6591761767864227)","(0.322, 0.4107, 0.473, 0.503, 0.5478, 0.5651, 0.596, 0.6217, 0.6431, 0.6593)","(2.4001615047454834, 1.6324520111083984, 1.1971054077148438, 1.1502193212509155, 1.6076726913452148, 1.3105530738830566, 1.860723614692688, 1.0041379928588867, 1.1981545686721802, 0.6343875527381897)","(0.3643176153302193, 0.4071950104087591, 0.40880979858338834, 0.4399088829755783, 0.49616928249597547, 0.5407002195715904, 0.5491381183266639, 0.5951178342103958, 0.6405677914619445, 0.6079472750425339)","(0.3655, 0.4086, 0.407, 0.4375, 0.4946, 0.5397, 0.5475, 0.5951, 0.641, 0.608)",1.2099535902023315,0.6100999996066093,0.6101
RN18_opt,"(1.5612049102783203, 1.7104982137680054, 1.8464350700378418, 1.4599131345748901, 1.8541908264160156, 1.4428565502166748, 1.5223665237426758, 1.4288009405136108, 1.6449202299118042, 0.7755720019340515)","(0.2561458952724934, 0.35696287304162977, 0.3980310082435608, 0.4350470915436745, 0.46312027275562284, 0.5041737109422684, 0.5219141185283661, 0.5532243847846985, 0.5749085694551468, 0.5917808085680007)","(0.2556, 0.3561, 0.3977, 0.4346, 0.463, 0.5041, 0.5221, 0.5532, 0.575, 0.5919)","(1.8425772190093994, 1.7979283332824707, 1.490706443786621, 1.5104950666427612, 1.0569164752960205, 1.5108121633529663, 1.2114295959472656, 1.1978886127471924, 1.2834371328353882, 1.2088854312896729)","(0.2774133832659572, 0.23910247669555246, 0.38503252640366553, 0.43426555693149566, 0.5084906667470932, 0.37207893952727317, 0.4314640313386917, 0.5645507171750068, 0.5953495591878891, 0.5686862677335739)","(0.2778, 0.2411, 0.3861, 0.4356, 0.5081, 0.3721, 0.4302, 0.5639, 0.5952, 0.5694)",1.2522889209747314,0.5711999863386155,0.5712
