model,test/loss,test/mClassAcc,test/mAcc,params
DeepNormalizedCNNOpt,1.192239711380005,0.5726000070571899,0.5726,"{'dropout_rate': 0.25, 'left_right_mirror': True, 'random_crop': True, 'weight_decay': 0.0001}"
DeepNormalizedCNNOpt,1.1181641941070557,0.5997000008821487,0.5997,"{'dropout_rate': 0.25, 'left_right_mirror': True, 'random_crop': True, 'weight_decay': 0.001}"
DeepNormalizedCNNOpt,1.0331125497817992,0.6259999960660935,0.626,"{'dropout_rate': 0.25, 'left_right_mirror': True, 'random_crop': False, 'weight_decay': 0.0001}"
DeepNormalizedCNNOpt,1.040764162826538,0.6357000052928925,0.6357,"{'dropout_rate': 0.25, 'left_right_mirror': True, 'random_crop': False, 'weight_decay': 0.001}"
DeepNormalizedCNNOpt,1.2866845161437988,0.5340000003576278,0.534,"{'dropout_rate': 0.25, 'left_right_mirror': False, 'random_crop': True, 'weight_decay': 0.0001}"
DeepNormalizedCNNOpt,1.1820531198501587,0.581700000166893,0.5817,"{'dropout_rate': 0.25, 'left_right_mirror': False, 'random_crop': True, 'weight_decay': 0.001}"
DeepNormalizedCNNOpt,0.9890190240859984,0.6529000043869019,0.6529,"{'dropout_rate': 0.25, 'left_right_mirror': False, 'random_crop': False, 'weight_decay': 0.0001}"
DeepNormalizedCNNOpt,1.0320973300933838,0.6386000037193298,0.6386,"{'dropout_rate': 0.25, 'left_right_mirror': False, 'random_crop': False, 'weight_decay': 0.001}"
DeepNormalizedCNNOpt,1.2592212362289428,0.5419000029563904,0.5419,"{'dropout_rate': 0.5, 'left_right_mirror': True, 'random_crop': True, 'weight_decay': 0.0001}"
DeepNormalizedCNNOpt,1.2616759986877442,0.543299999833107,0.5433,"{'dropout_rate': 0.5, 'left_right_mirror': True, 'random_crop': True, 'weight_decay': 0.001}"
DeepNormalizedCNNOpt,1.0953154458999634,0.6079000055789947,0.6079,"{'dropout_rate': 0.5, 'left_right_mirror': True, 'random_crop': False, 'weight_decay': 0.0001}"
DeepNormalizedCNNOpt,1.0521225412368775,0.6218000024557113,0.6218,"{'dropout_rate': 0.5, 'left_right_mirror': True, 'random_crop': False, 'weight_decay': 0.001}"
DeepNormalizedCNNOpt,1.3814865812301635,0.4862999975681304,0.4863,"{'dropout_rate': 0.5, 'left_right_mirror': False, 'random_crop': True, 'weight_decay': 0.0001}"
DeepNormalizedCNNOpt,1.3816271049499511,0.5136000066995621,0.5136,"{'dropout_rate': 0.5, 'left_right_mirror': False, 'random_crop': True, 'weight_decay': 0.001}"
DeepNormalizedCNNOpt,1.0794723991394044,0.6141999930143356,0.6142,"{'dropout_rate': 0.5, 'left_right_mirror': False, 'random_crop': False, 'weight_decay': 0.0001}"
DeepNormalizedCNNOpt,1.0502979858398438,0.6319000065326691,0.6319,"{'dropout_rate': 0.5, 'left_right_mirror': False, 'random_crop': False, 'weight_decay': 0.001}"
VisionTransformerShallowOpt,2.185547547531128,0.1917999998666346,0.1918,"{'dropout_rate': 0.25, 'left_right_mirror': True, 'random_crop': True, 'weight_decay': 0.0001}"
VisionTransformerShallowOpt,2.109752430343628,0.2111999973654747,0.2112,"{'dropout_rate': 0.25, 'left_right_mirror': True, 'random_crop': True, 'weight_decay': 0.001}"
VisionTransformerShallowOpt,1.983092288208008,0.2865999981760979,0.2866,"{'dropout_rate': 0.25, 'left_right_mirror': True, 'random_crop': False, 'weight_decay': 0.0001}"
VisionTransformerShallowOpt,2.044797758483887,0.2464000020176172,0.2464,"{'dropout_rate': 0.25, 'left_right_mirror': True, 'random_crop': False, 'weight_decay': 0.001}"
VisionTransformerShallowOpt,2.167178472137451,0.1998000002466142,0.1998,"{'dropout_rate': 0.25, 'left_right_mirror': False, 'random_crop': True, 'weight_decay': 0.0001}"
VisionTransformerShallowOpt,2.100879540634155,0.224000004120171,0.224,"{'dropout_rate': 0.25, 'left_right_mirror': False, 'random_crop': True, 'weight_decay': 0.001}"
VisionTransformerShallowOpt,2.079844016647339,0.2498000003397464,0.2498,"{'dropout_rate': 0.25, 'left_right_mirror': False, 'random_crop': False, 'weight_decay': 0.0001}"
VisionTransformerShallowOpt,2.0129463750839234,0.2742000006139278,0.2742,"{'dropout_rate': 0.25, 'left_right_mirror': False, 'random_crop': False, 'weight_decay': 0.001}"
VisionTransformerShallowOpt,2.141256491088867,0.1946999985724687,0.1947,"{'dropout_rate': 0.5, 'left_right_mirror': True, 'random_crop': True, 'weight_decay': 0.0001}"
VisionTransformerShallowOpt,2.1682121238708496,0.1851000033318996,0.1851,"{'dropout_rate': 0.5, 'left_right_mirror': True, 'random_crop': True, 'weight_decay': 0.001}"
VisionTransformerShallowOpt,2.151112992095947,0.2090999971143901,0.2091,"{'dropout_rate': 0.5, 'left_right_mirror': True, 'random_crop': False, 'weight_decay': 0.0001}"
VisionTransformerShallowOpt,2.0608172163009644,0.2486000008881092,0.2486,"{'dropout_rate': 0.5, 'left_right_mirror': True, 'random_crop': False, 'weight_decay': 0.001}"
VisionTransformerShallowOpt,2.174306917953491,0.1838000013493001,0.1838,"{'dropout_rate': 0.5, 'left_right_mirror': False, 'random_crop': True, 'weight_decay': 0.0001}"
VisionTransformerShallowOpt,2.214767218399048,0.167000000923872,0.167,"{'dropout_rate': 0.5, 'left_right_mirror': False, 'random_crop': True, 'weight_decay': 0.001}"
VisionTransformerShallowOpt,2.113905623626709,0.2254000030457973,0.2254,"{'dropout_rate': 0.5, 'left_right_mirror': False, 'random_crop': False, 'weight_decay': 0.0001}"
VisionTransformerShallowOpt,2.0782812908172605,0.2472999956458807,0.2473,"{'dropout_rate': 0.5, 'left_right_mirror': False, 'random_crop': False, 'weight_decay': 0.001}"
VisionTransformerDeepOpt,2.302983492279053,0.1,0.1,"{'dropout_rate': 0.25, 'left_right_mirror': True, 'random_crop': True, 'weight_decay': 0.0001}"
VisionTransformerDeepOpt,2.3028603607177733,0.1,0.1,"{'dropout_rate': 0.25, 'left_right_mirror': True, 'random_crop': True, 'weight_decay': 0.001}"
VisionTransformerDeepOpt,2.303158379364014,0.1,0.1,"{'dropout_rate': 0.25, 'left_right_mirror': True, 'random_crop': False, 'weight_decay': 0.0001}"
VisionTransformerDeepOpt,2.3028701999664305,0.1,0.1,"{'dropout_rate': 0.25, 'left_right_mirror': True, 'random_crop': False, 'weight_decay': 0.001}"
VisionTransformerDeepOpt,2.302828197479248,0.1,0.1,"{'dropout_rate': 0.25, 'left_right_mirror': False, 'random_crop': True, 'weight_decay': 0.0001}"
VisionTransformerDeepOpt,2.302875701522827,0.1,0.1,"{'dropout_rate': 0.25, 'left_right_mirror': False, 'random_crop': True, 'weight_decay': 0.001}"
VisionTransformerDeepOpt,2.302956625747681,0.1,0.1,"{'dropout_rate': 0.25, 'left_right_mirror': False, 'random_crop': False, 'weight_decay': 0.0001}"
VisionTransformerDeepOpt,2.302836696624756,0.1,0.1,"{'dropout_rate': 0.25, 'left_right_mirror': False, 'random_crop': False, 'weight_decay': 0.001}"
VisionTransformerDeepOpt,2.3029222122192383,0.1,0.1,"{'dropout_rate': 0.5, 'left_right_mirror': True, 'random_crop': True, 'weight_decay': 0.0001}"
VisionTransformerDeepOpt,2.3029019271850584,0.1,0.1,"{'dropout_rate': 0.5, 'left_right_mirror': True, 'random_crop': True, 'weight_decay': 0.001}"
VisionTransformerDeepOpt,2.3030538410186767,0.1,0.1,"{'dropout_rate': 0.5, 'left_right_mirror': True, 'random_crop': False, 'weight_decay': 0.0001}"
VisionTransformerDeepOpt,2.302795748138428,0.1,0.1,"{'dropout_rate': 0.5, 'left_right_mirror': True, 'random_crop': False, 'weight_decay': 0.001}"
VisionTransformerDeepOpt,2.302850458526611,0.1,0.1,"{'dropout_rate': 0.5, 'left_right_mirror': False, 'random_crop': True, 'weight_decay': 0.0001}"
VisionTransformerDeepOpt,2.3029195499420165,0.1,0.1,"{'dropout_rate': 0.5, 'left_right_mirror': False, 'random_crop': True, 'weight_decay': 0.001}"
VisionTransformerDeepOpt,2.302971918487549,0.1,0.1,"{'dropout_rate': 0.5, 'left_right_mirror': False, 'random_crop': False, 'weight_decay': 0.0001}"
VisionTransformerDeepOpt,2.3028792041778563,0.1,0.1,"{'dropout_rate': 0.5, 'left_right_mirror': False, 'random_crop': False, 'weight_decay': 0.001}"
VisionTransformerDeepResidualOpt,62.28153829345703,0.2695000000298023,0.2695,"{'dropout_rate': 0.25, 'left_right_mirror': True, 'random_crop': True, 'weight_decay': 0.0001}"
VisionTransformerDeepResidualOpt,60.20693737182617,0.2708000011742115,0.2708,"{'dropout_rate': 0.25, 'left_right_mirror': True, 'random_crop': True, 'weight_decay': 0.001}"
VisionTransformerDeepResidualOpt,49.18433702392578,0.3421000003814697,0.3421,"{'dropout_rate': 0.25, 'left_right_mirror': True, 'random_crop': False, 'weight_decay': 0.0001}"
VisionTransformerDeepResidualOpt,49.50123516845703,0.3410999938845634,0.3411,"{'dropout_rate': 0.25, 'left_right_mirror': True, 'random_crop': False, 'weight_decay': 0.001}"
VisionTransformerDeepResidualOpt,69.98465776367188,0.2685999974608421,0.2686,"{'dropout_rate': 0.25, 'left_right_mirror': False, 'random_crop': True, 'weight_decay': 0.0001}"
VisionTransformerDeepResidualOpt,67.4015767944336,0.2646999999880791,0.2647,"{'dropout_rate': 0.25, 'left_right_mirror': False, 'random_crop': True, 'weight_decay': 0.001}"
VisionTransformerDeepResidualOpt,56.461868115234374,0.3470000013709068,0.347,"{'dropout_rate': 0.25, 'left_right_mirror': False, 'random_crop': False, 'weight_decay': 0.0001}"
VisionTransformerDeepResidualOpt,57.540888916015625,0.3475000023841857,0.3475,"{'dropout_rate': 0.25, 'left_right_mirror': False, 'random_crop': False, 'weight_decay': 0.001}"
VisionTransformerDeepResidualOpt,79.30705819091797,0.2654000014066696,0.2654,"{'dropout_rate': 0.5, 'left_right_mirror': True, 'random_crop': True, 'weight_decay': 0.0001}"
VisionTransformerDeepResidualOpt,64.98443973388672,0.2614999949932098,0.2615,"{'dropout_rate': 0.5, 'left_right_mirror': True, 'random_crop': True, 'weight_decay': 0.001}"
VisionTransformerDeepResidualOpt,68.9866866394043,0.3190000019967556,0.319,"{'dropout_rate': 0.5, 'left_right_mirror': True, 'random_crop': False, 'weight_decay': 0.0001}"
VisionTransformerDeepResidualOpt,77.67989968261719,0.2966999977827072,0.2967,"{'dropout_rate': 0.5, 'left_right_mirror': True, 'random_crop': False, 'weight_decay': 0.001}"
VisionTransformerDeepResidualOpt,63.09225748901367,0.2700999960303306,0.2701,"{'dropout_rate': 0.5, 'left_right_mirror': False, 'random_crop': True, 'weight_decay': 0.0001}"
VisionTransformerDeepResidualOpt,67.29003881835938,0.2553000003099441,0.2553,"{'dropout_rate': 0.5, 'left_right_mirror': False, 'random_crop': True, 'weight_decay': 0.001}"
