model,train/loss,train/mClassAcc,train/mAcc,val/loss,val/mClassAcc,val/mAcc,params
VisionTransformerDeepResidualOpt,"(184.54171752929688, 114.90721893310547, 50.11098861694336, 75.3048095703125, 39.93492126464844, 38.940162658691406, 34.26148223876953, 26.823022842407227, 40.93400573730469, 38.9648323059082)","(0.2124702215194702, 0.3001569271087646, 0.34915447533130645, 0.36133923232555387, 0.3886600732803345, 0.40323938727378844, 0.41332089304924013, 0.4349881440401077, 0.44369993209838865, 0.4497651785612106)","(0.2126, 0.3004, 0.3493, 0.3613, 0.3889, 0.4033, 0.4136, 0.4349, 0.4438, 0.4498)","(261.39984130859375, 170.2000732421875, 144.63519287109375, 114.0317611694336, 63.450645446777344, 76.32305145263672, 47.499759674072266, 43.52633285522461, 91.09636688232422, 83.9428482055664)","(0.21043254509568216, 0.29418915743008256, 0.30000891610980035, 0.3364954009652138, 0.33557870239019394, 0.33438130766153334, 0.3375909999012947, 0.36702719032764436, 0.36327148899435996, 0.35950339734554293)","(0.2095, 0.2947, 0.3006, 0.3357, 0.336, 0.3352, 0.3381, 0.3672, 0.364, 0.3594)","{'dropout_rate': 0.25, 'left_right_mirror': False, 'random_crop': False, 'weight_decay': 0.0001}"
VisionTransformerDeepResidualOpt,"(203.67886352539062, 164.34329223632812, 157.2539520263672, 93.28279113769531, 32.6097526550293, 33.72584915161133, 52.50384521484375, 47.29416275024414, 38.24144744873047, 43.174156188964844)","(0.2178122490644455, 0.2945690855383873, 0.31846765130758287, 0.354110449552536, 0.3564404100179672, 0.3957109808921814, 0.4052628010511398, 0.4148927301168442, 0.4258791357278824, 0.4284181445837021)","(0.2178, 0.2947, 0.3185, 0.3541, 0.3564, 0.3958, 0.4053, 0.4148, 0.426, 0.4285)","(263.023193359375, 206.62843322753906, 122.10652160644531, 131.01612854003906, 69.7455825805664, 80.85447692871094, 81.14057159423828, 74.43768310546875, 76.825439453125, 36.770660400390625)","(0.26814215281046927, 0.3044591464102268, 0.3458210721611977, 0.30880558788776397, 0.3044054552912712, 0.3321480698883533, 0.324167338013649, 0.3392327792942524, 0.3358244076371193, 0.34502599388360977)","(0.2709, 0.3045, 0.3462, 0.3096, 0.3041, 0.3332, 0.3248, 0.339, 0.3357, 0.3461)","{'dropout_rate': 0.25, 'left_right_mirror': False, 'random_crop': False, 'weight_decay': 0.001}"
VisionTransformerDeepResidualOpt,"(273.6953125, 210.65199279785156, 148.6796875, 67.28483581542969, 64.85955810546875, 98.90679168701172, 88.73998260498047, 100.3493423461914, 102.13101959228516, 76.2000503540039)","(0.17987264990806578, 0.2172737166285515, 0.23121357709169388, 0.2501259744167328, 0.24826605916023253, 0.2599581703543663, 0.2432652935385704, 0.2474302440881729, 0.24081459492444993, 0.26243671476840974)","(0.1802, 0.2176, 0.2314, 0.2504, 0.2484, 0.2603, 0.2435, 0.2476, 0.2411, 0.2625)","(172.7908935546875, 202.83993530273438, 175.3529052734375, 106.6366958618164, 117.07449340820312, 127.71820831298828, 114.49232482910156, 122.1172866821289, 90.18788146972656, 60.19729995727539)","(0.19896614258177578, 0.21842918060719968, 0.22692556530237198, 0.2447761870920658, 0.24865387380123138, 0.2636169448494911, 0.23633375018835068, 0.26800786331295967, 0.26428601145744324, 0.2611295454204082)","(0.2, 0.2167, 0.2262, 0.2449, 0.2486, 0.2637, 0.2361, 0.2692, 0.2647, 0.2624)","{'dropout_rate': 0.5, 'left_right_mirror': True, 'random_crop': True, 'weight_decay': 0.0001}"
VisionTransformerDeepResidualOpt,"(156.13687133789062, 119.1941146850586, 149.93019104003906, 74.2938461303711, 63.854774475097656, 88.08454895019531, 87.9250259399414, 73.14747619628906, 69.19019317626953, 50.46022415161133)","(0.17406642585992813, 0.21718789041042327, 0.23570300489664078, 0.24563566446304322, 0.23981168419122695, 0.24567444622516632, 0.25527819246053696, 0.25146383196115496, 0.2603872612118721, 0.26766317188739774)","(0.1744, 0.2174, 0.2359, 0.2457, 0.2399, 0.2458, 0.2555, 0.2515, 0.2605, 0.2678)","(213.05203247070312, 88.52067565917969, 181.80960083007812, 84.14772033691406, 99.27191162109375, 171.4781494140625, 60.61294937133789, 96.24140930175781, 86.05162048339844, 55.918636322021484)","(0.22661886466667056, 0.23054890297353267, 0.22540959864854812, 0.22885911539196968, 0.242062958329916, 0.24207218140363693, 0.2728565573692322, 0.2659425362944603, 0.26282951720058917, 0.264679254591465)","(0.2262, 0.2319, 0.2259, 0.2288, 0.2423, 0.2411, 0.2733, 0.2665, 0.2626, 0.2646)","{'dropout_rate': 0.5, 'left_right_mirror': True, 'random_crop': True, 'weight_decay': 0.001}"
VisionTransformerDeepResidualOpt,"(198.8836212158203, 152.3772735595703, 167.3612823486328, 106.26995086669922, 144.94036865234375, 77.88410949707031, 64.74987030029297, 52.15254592895508, 43.86714172363281, 72.7090072631836)","(0.2144705057144165, 0.2838758364319801, 0.30308081954717636, 0.3235931217670441, 0.33938061594963076, 0.34216228127479553, 0.3434512451291084, 0.35096279084682463, 0.34038636535406114, 0.3660551369190216)","(0.2145, 0.2839, 0.3028, 0.3237, 0.3394, 0.342, 0.3433, 0.3507, 0.3403, 0.3661)","(203.98001098632812, 117.92881774902344, 168.0960693359375, 140.3676300048828, 102.4410400390625, 148.74517822265625, 70.57122802734375, 80.51611328125, 67.8615951538086, 65.36404418945312)","(0.2293799098697491, 0.32208054773509504, 0.32852980941534043, 0.33197839744389057, 0.32557318955659864, 0.31492776349186896, 0.35815163850784304, 0.3535950854420662, 0.35631057769060137, 0.32220972552895544)","(0.2322, 0.3235, 0.3295, 0.3322, 0.3262, 0.315, 0.3583, 0.3539, 0.3564, 0.3221)","{'dropout_rate': 0.5, 'left_right_mirror': True, 'random_crop': False, 'weight_decay': 0.0001}"
VisionTransformerDeepResidualOpt,"(153.48678588867188, 104.70601654052734, 134.22154235839844, 116.27355194091797, 70.58734130859375, 69.74092864990234, 67.06726837158203, 55.48854064941406, 73.92373657226562, 68.20457458496094)","(0.2080616384744644, 0.2863769054412842, 0.31390601843595506, 0.3261270642280579, 0.34398063868284223, 0.3389948934316635, 0.34351096749305726, 0.36352379322052003, 0.3673671752214432, 0.3648141801357269)","(0.2082, 0.2864, 0.3138, 0.3262, 0.344, 0.3392, 0.3434, 0.3635, 0.3674, 0.3646)","(252.45457458496094, 119.21623229980469, 80.71745300292969, 61.643463134765625, 70.88447570800781, 77.87397003173828, 87.67045593261719, 85.03184509277344, 71.16023254394531, 104.30147552490234)","(0.21141653675585986, 0.2698517616838217, 0.31393510550260545, 0.2983835145831108, 0.30847606956958773, 0.33313974142074587, 0.33586479872465136, 0.2966479703783989, 0.34571538120508194, 0.29635675624012947)","(0.2119, 0.2686, 0.3135, 0.2975, 0.3088, 0.3333, 0.3348, 0.2964, 0.3462, 0.2967)","{'dropout_rate': 0.5, 'left_right_mirror': True, 'random_crop': False, 'weight_decay': 0.001}"
VisionTransformerDeepResidualOpt,"(221.47520446777344, 121.71441650390625, 183.94256591796875, 127.03237915039062, 119.83961486816406, 73.23468017578125, 112.5295181274414, 133.88157653808594, 103.19313049316406, 81.20763397216797)","(0.17968380451202393, 0.21882539242506027, 0.23237707018852233, 0.2213200256228447, 0.23871573954820632, 0.24118854850530624, 0.24579073637723922, 0.24004389047622682, 0.24496887922286986, 0.25642179101705553)","(0.1799, 0.219, 0.2322, 0.2216, 0.2389, 0.2413, 0.246, 0.24, 0.245, 0.2566)","(138.6863250732422, 132.96978759765625, 138.03274536132812, 146.69639587402344, 86.63646697998047, 87.00342559814453, 142.0013885498047, 99.27255249023438, 29.099531173706055, 57.25525665283203)","(0.21151725389063358, 0.21092181354761125, 0.20657169474288822, 0.2304627913981676, 0.2420296847820282, 0.26424541771411897, 0.2475735068321228, 0.26303386464715006, 0.2551709197461605, 0.28130069226026533)","(0.2118, 0.2109, 0.2053, 0.2289, 0.2428, 0.264, 0.2471, 0.263, 0.2551, 0.2827)","{'dropout_rate': 0.5, 'left_right_mirror': False, 'random_crop': True, 'weight_decay': 0.0001}"
VisionTransformerDeepResidualOpt,"(218.54029846191406, 222.54278564453125, 91.95084381103516, 93.54502868652344, 139.27615356445312, 111.35816955566406, 68.79853820800781, 84.65458679199219, 46.886600494384766, 79.7733154296875)","(0.1867654412984848, 0.21880654692649842, 0.24270928800106048, 0.24022875279188155, 0.2547506242990494, 0.2549040913581848, 0.25656036734580995, 0.2678757280111313, 0.25758525133132937, 0.25603508949279785)","(0.1871, 0.2191, 0.2429, 0.2404, 0.2549, 0.255, 0.2566, 0.2681, 0.2577, 0.256)","(171.24072265625, 108.701904296875, 54.94443893432617, 132.49075317382812, 89.1427001953125, 103.71011352539062, 115.1041030883789, 120.71664428710938, 97.55470275878906, 93.00738525390625)","(0.20942976917140185, 0.21359840286895632, 0.23679521568119527, 0.24254663959145545, 0.24542948566377162, 0.2557041123509407, 0.2526087716221809, 0.252075482159853, 0.24639764800667763, 0.25039898231625557)","(0.2111, 0.2124, 0.2361, 0.2438, 0.246, 0.2564, 0.2532, 0.2524, 0.2466, 0.2498)","{'dropout_rate': 0.5, 'left_right_mirror': False, 'random_crop': True, 'weight_decay': 0.001}"
VisionTransformerDeepResidualOpt,"(123.11354064941406, 120.200927734375, 95.31527709960938, 118.91241455078125, 99.01860809326172, 129.55215454101562, 114.82379150390625, 70.49050903320312, 93.78228759765625, 47.517086029052734)","(0.2258904293179512, 0.2956934437155724, 0.32016571909189223, 0.32848443537950517, 0.34827610552310945, 0.3762528359889984, 0.3827542096376419, 0.40252519249916074, 0.38828866481781005, 0.39576045870780946)","(0.226, 0.2958, 0.3203, 0.3285, 0.3483, 0.3762, 0.3827, 0.4024, 0.3883, 0.3956)","(147.83966064453125, 211.92884826660156, 88.40861511230469, 83.40418243408203, 70.54582214355469, 64.82508087158203, 67.16658782958984, 70.46762084960938, 50.52325439453125, 82.05192565917969)","(0.2661693370901048, 0.22806065012700855, 0.26280458346009256, 0.28872388787567616, 0.34335380867123605, 0.31023366153240206, 0.34646464586257936, 0.34627609364688394, 0.31675511226058006, 0.3463090926408768)","(0.2664, 0.2306, 0.2608, 0.2874, 0.3433, 0.31, 0.3466, 0.3477, 0.3167, 0.3461)","{'dropout_rate': 0.5, 'left_right_mirror': False, 'random_crop': False, 'weight_decay': 0.0001}"
VisionTransformerDeepResidualOpt,"(252.1217498779297, 81.1151123046875, 120.1160659790039, 92.99714660644531, 149.43817138671875, 73.29405975341797, 90.90730285644531, 72.10104370117188, 63.979896545410156, 57.97439193725586)","(0.21867219358682632, 0.2904503718018532, 0.3310603678226471, 0.33885749876499177, 0.3397608608007431, 0.34228322505950926, 0.3463763654232025, 0.35307430028915404, 0.3924022734165192, 0.40525721907615664)","(0.2187, 0.2904, 0.3312, 0.3391, 0.3397, 0.3424, 0.3465, 0.353, 0.3925, 0.405)","(130.65013122558594, 94.60026550292969, 57.17782211303711, 244.5711669921875, 120.31639099121094, 34.80194854736328, 56.092411041259766, 66.02410888671875, 72.74616241455078, 66.55939483642578)","(0.27805340886116026, 0.3062029529362917, 0.31365218162536623, 0.27791285337880256, 0.30181639567017554, 0.3445144027471542, 0.3231536626815796, 0.32072332948446275, 0.3561376787722111, 0.3283443346619606)","(0.2792, 0.3077, 0.313, 0.2788, 0.3007, 0.3439, 0.3234, 0.3207, 0.356, 0.3279)","{'dropout_rate': 0.5, 'left_right_mirror': False, 'random_crop': False, 'weight_decay': 0.001}"
ResNet18Dropout,"(2.146782875061035, 1.2397794723510742, 1.3189632892608643, 0.5731198787689209, 2.022294282913208, 0.7018067836761475, 1.0745877027511597, 0.8253605365753174, 1.3248603343963623, 0.10995882749557495)","(0.4438504993915558, 0.5885124266147613, 0.647150707244873, 0.6811936557292938, 0.7188722908496856, 0.7402000427246094, 0.7588040292263031, 0.7786877155303955, 0.7885888934135437, 0.8075866818428039)","(0.4436, 0.5886, 0.6474, 0.6814, 0.7193, 0.7404, 0.7593, 0.779, 0.789, 0.808)","(2.1218903064727783, 1.4662437438964844, 1.1746848821640015, 1.30145263671875, 0.8357698917388916, 0.8386062979698181, 0.7900969982147217, 0.8568060994148254, 1.1779521703720093, 1.0904819965362549)","(0.5134561032056808, 0.5645917117595672, 0.5881798163056373, 0.6738751769065857, 0.6675634801387786, 0.7109862267971039, 0.7227495729923248, 0.7353368490934372, 0.722365853190422, 0.7552737176418305)","(0.5138, 0.5644, 0.5887, 0.6723, 0.6672, 0.7111, 0.7231, 0.7349, 0.722, 0.7557)","{'dropout_rate': 0.25, 'left_right_mirror': True, 'random_crop': True, 'weight_decay': 0.0001}"
ResNet18Dropout,"(1.5151393413543701, 1.6646816730499268, 1.2314941883087158, 1.0343852043151855, 1.8264086246490479, 0.9125789999961853, 0.8824271559715271, 0.6449133157730103, 0.8915796279907227, 1.5423672199249268)","(0.41550409495830537, 0.5689926475286484, 0.6228566884994506, 0.6649018347263336, 0.692798626422882, 0.705647760629654, 0.7329003512859344, 0.7532023012638092, 0.7629199326038361, 0.7827615857124328)","(0.4159, 0.5693, 0.6234, 0.6652, 0.6931, 0.7058, 0.733, 0.7534, 0.7631, 0.7831)","(1.7413095235824585, 0.7383095026016235, 1.920512080192566, 1.5811357498168945, 1.1191215515136719, 1.1949690580368042, 0.7086009979248047, 0.9629301428794861, 1.2125511169433594, 0.39459070563316345)","(0.48145941346883775, 0.5365143649280071, 0.562271311879158, 0.6036582067608833, 0.6380757391452789, 0.6487630277872085, 0.6914256095886231, 0.6933769673109055, 0.7337550759315491, 0.7305794060230255)","(0.4802, 0.535, 0.5621, 0.6035, 0.6389, 0.6477, 0.6908, 0.6929, 0.734, 0.7316)","{'dropout_rate': 0.25, 'left_right_mirror': True, 'random_crop': True, 'weight_decay': 0.001}"
ResNet18Dropout,"(1.1161657571792603, 1.1381964683532715, 0.769830584526062, 1.4505726099014282, 0.9070075750350952, 0.8958630561828613, 0.1264197826385498, 1.140489101409912, 0.02558692917227745, 0.048076651990413666)","(0.4997252881526947, 0.6731242835521698, 0.7360920548439026, 0.7995634257793427, 0.8497944235801697, 0.8878975927829742, 0.912024462223053, 0.9410701394081116, 0.9532415270805359, 0.9620685756206513)","(0.4998, 0.6735, 0.7366, 0.8, 0.8501, 0.8881, 0.9122, 0.9412, 0.9533, 0.9621)","(1.2112236022949219, 1.4221715927124023, 1.1271098852157593, 0.9525023698806763, 0.614512026309967, 1.7378934621810913, 1.1010867357254028, 1.1769757270812988, 1.2181707620620728, 0.24557404220104218)","(0.5370230674743652, 0.5999324858188629, 0.7072988212108612, 0.7327333271503449, 0.7342832028865814, 0.7018544286489486, 0.7253073513507843, 0.6808054804801941, 0.7394045740365982, 0.7371330559253693)","(0.5372, 0.6008, 0.7067, 0.7326, 0.7341, 0.7018, 0.7248, 0.6807, 0.7387, 0.737)","{'dropout_rate': 0.25, 'left_right_mirror': False, 'random_crop': False, 'weight_decay': 0.0001}"
ResNet18Dropout,"(2.2022292613983154, 2.144670248031616, 0.5151956677436829, 1.0192553997039795, 0.27634233236312866, 0.6585479974746704, 0.1808800995349884, 1.3019627332687378, 0.23984494805335999, 1.013735294342041)","(0.518057918548584, 0.6633959829807281, 0.7377643167972565, 0.7912229716777801, 0.8335336446762085, 0.8611116945743561, 0.8858423888683319, 0.9175961971282959, 0.938948678970337, 0.9506226360797883)","(0.5183, 0.6635, 0.7381, 0.7914, 0.8336, 0.8613, 0.8858, 0.9178, 0.939, 0.9506)","(1.2223634719848633, 1.7031570672988892, 0.9299269914627075, 1.0448267459869385, 1.0503029823303223, 0.5145525932312012, 0.8152607679367065, 1.1405417919158936, 1.2857534885406494, 0.433451384305954)","(0.5973903208971023, 0.5631187051534653, 0.6812575668096542, 0.687430340051651, 0.7015317916870117, 0.7316360116004944, 0.7042232096195221, 0.7370175421237946, 0.7389873445034028, 0.7389686703681946)","(0.5979, 0.5618, 0.6815, 0.6883, 0.7017, 0.731, 0.7048, 0.7372, 0.7389, 0.7397)","{'dropout_rate': 0.25, 'left_right_mirror': False, 'random_crop': False, 'weight_decay': 0.001}"
ResNet18Dropout,"(1.4609273672103882, 1.329676866531372, 2.4063191413879395, 2.109273672103882, 0.9864376187324524, 0.5622628927230835, 0.6860105395317078, 0.9307641983032227, 1.0360174179077148, 0.4711153209209442)","(0.3706009805202484, 0.5441179633140564, 0.5990814477205276, 0.6464058935642243, 0.6844349861145019, 0.6991530895233155, 0.7269885420799256, 0.7498532414436341, 0.7580905795097351, 0.7714180409908294)","(0.3708, 0.5433, 0.5993, 0.6467, 0.6848, 0.6995, 0.7272, 0.75, 0.7583, 0.7715)","(2.3015975952148438, 1.529279351234436, 0.7027075886726379, 0.7428590655326843, 0.9909430146217346, 1.0390875339508057, 0.6990020871162415, 0.8255932331085205, 1.4265674352645874, 0.662892758846283)","(0.45270641073584555, 0.4970409065485001, 0.5781738623976708, 0.6487157464027404, 0.6229715779423713, 0.7010511964559555, 0.7179130584001541, 0.7140033185482025, 0.7352305233478547, 0.7299002349376679)","(0.4539, 0.5002, 0.5781, 0.6497, 0.6219, 0.7012, 0.7176, 0.713, 0.7347, 0.7297)","{'dropout_rate': 0.5, 'left_right_mirror': True, 'random_crop': True, 'weight_decay': 0.0001}"
ResNet18Dropout,"(2.118379831314087, 1.3992550373077393, 1.8339921236038208, 1.0485143661499023, 1.1485753059387207, 1.0727332830429077, 1.6743773221969604, 1.1715493202209473, 0.5588397979736328, 1.573157787322998)","(0.36356120705604555, 0.5390765964984894, 0.6041429162025451, 0.6436240434646606, 0.6760049223899841, 0.7013994038105011, 0.7236270129680633, 0.7317378520965576, 0.7490464150905609, 0.7641989946365356)","(0.3641, 0.5392, 0.6044, 0.6439, 0.6758, 0.7014, 0.7238, 0.7321, 0.7494, 0.7645)","(1.5871474742889404, 1.4161995649337769, 0.9513670802116394, 0.9869005680084229, 0.5569720268249512, 1.0826469659805298, 0.8424457907676697, 1.4063222408294678, 1.0755059719085693, 1.2085541486740112)","(0.4430004745721817, 0.5104303628206253, 0.6253556668758392, 0.6234109282493592, 0.6400046348571777, 0.6491366028785706, 0.6729175865650177, 0.6460833042860031, 0.7221633434295655, 0.7214706093072891)","(0.4425, 0.5113, 0.6263, 0.6219, 0.6417, 0.6505, 0.6738, 0.6466, 0.7223, 0.7213)","{'dropout_rate': 0.5, 'left_right_mirror': True, 'random_crop': True, 'weight_decay': 0.001}"
ResNet18Dropout,"(2.414815902709961, 0.924950361251831, 0.7168555855751038, 0.6897573471069336, 1.415151596069336, 0.8420062065124512, 0.47810372710227966, 0.8720877170562744, 0.20512712001800537, 1.305301308631897)","(0.43512232005596163, 0.6385783106088638, 0.7056946277618408, 0.7635301291942597, 0.811568945646286, 0.8554542660713196, 0.8910519361495972, 0.91092848777771, 0.930993115901947, 0.9527226150035858)","(0.4352, 0.6387, 0.706, 0.7637, 0.812, 0.8557, 0.8912, 0.9112, 0.9312, 0.9529)","(1.681515097618103, 1.4369202852249146, 1.1828185319900513, 0.9939725399017334, 2.1033239364624023, 0.3806321322917938, 1.1161082983016968, 0.7118051052093506, 0.46389442682266235, 2.063941478729248)","(0.5197232946753502, 0.6536398589611053, 0.6668228775262832, 0.6911319077014924, 0.6951991856098175, 0.7125346332788467, 0.7367879509925842, 0.725363603234291, 0.7199914127588272, 0.7338467895984649)","(0.5212, 0.6547, 0.6664, 0.6917, 0.6969, 0.7125, 0.7368, 0.725, 0.7197, 0.7336)","{'dropout_rate': 0.5, 'left_right_mirror': False, 'random_crop': False, 'weight_decay': 0.0001}"
ResNet18Dropout,"(1.7090187072753906, 1.5239601135253906, 1.0818840265274048, 1.656901240348816, 0.5129671692848206, 1.9613133668899536, 1.339979648590088, 0.6501374244689941, 1.1728216409683228, 1.3222187757492065)","(0.42982920110225675, 0.6238701522350312, 0.6948675751686096, 0.7423382043838501, 0.7971818149089813, 0.8342836320400238, 0.8621760129928588, 0.8829645931720733, 0.9138584852218627, 0.9360469520092011)","(0.4297, 0.6243, 0.6953, 0.7427, 0.7976, 0.8345, 0.8625, 0.8832, 0.914, 0.9362)","(1.3602412939071655, 1.8439207077026367, 1.275872826576233, 1.4971208572387695, 0.9174920320510864, 1.4670374393463135, 1.9963277578353882, 0.8709731101989746, 1.4143242835998535, 0.7155076265335083)","(0.5476591140031815, 0.6266451686620712, 0.6517916589975357, 0.6628726989030838, 0.6951138198375701, 0.7164379298686981, 0.7250519812107086, 0.725323709845543, 0.7315570890903473, 0.7143674045801163)","(0.5471, 0.6262, 0.6515, 0.6641, 0.6953, 0.7168, 0.725, 0.7252, 0.7313, 0.7153)","{'dropout_rate': 0.5, 'left_right_mirror': False, 'random_crop': False, 'weight_decay': 0.001}"
