model,train/loss,train/mClassAcc,train/mAcc,val/loss,val/mClassAcc,val/mAcc,params
VisionTransformerDeepOpt,"(2.3006691932678223, 2.3202755451202393, 2.300319194793701, 2.3128786087036133, 2.2920944690704346, 2.3106374740600586, 2.2935783863067627, 2.300168752670288, 2.3017029762268066, 2.2921669483184814)","(0.10158948376774787, 0.09792967773973942, 0.09789738631807268, 0.0963380854576826, 0.09330906041432172, 0.09499990828335285, 0.09955642186105251, 0.09658734202384948, 0.10000512008555233, 0.09854839444160461)","(0.1032, 0.1004, 0.0994, 0.0989, 0.0953, 0.0976, 0.1027, 0.0993, 0.1026, 0.1016)","(2.299670934677124, 2.3069357872009277, 2.307312488555908, 2.3102290630340576, 2.2961432933807373, 2.3112194538116455, 2.3083887100219727, 2.3055288791656494, 2.309047222137451, 2.3106958866119385)","(0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1)","(0.098, 0.0952, 0.0952, 0.1003, 0.1016, 0.0952, 0.1003, 0.0952, 0.0952, 0.0952)","{'dropout_rate': 0.5, 'left_right_mirror': True, 'random_crop': False, 'weight_decay': 0.0001}"
VisionTransformerDeepOpt,"(2.2971200942993164, 2.3169803619384766, 2.306940793991089, 2.3064067363739014, 2.3105175495147705, 2.2940924167633057, 2.301298141479492, 2.301659345626831, 2.3031187057495117, 2.2910797595977783)","(0.09796123350970447, 0.09254126599989831, 0.09436558573506773, 0.10010149879381061, 0.09437536395853385, 0.09746525287628174, 0.09762477092444896, 0.10094613209366798, 0.09847285831347108, 0.09654937237501145)","(0.099, 0.0942, 0.096, 0.1018, 0.0969, 0.1, 0.1003, 0.1035, 0.101, 0.0994)","(2.2965128421783447, 2.2767016887664795, 2.311079263687134, 2.3030805587768555, 2.313401937484741, 2.307506561279297, 2.304741859436035, 2.3109402656555176, 2.299969434738159, 2.296657085418701)","(0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1)","(0.1003, 0.1003, 0.0952, 0.1003, 0.0952, 0.098, 0.098, 0.1025, 0.098, 0.0952)","{'dropout_rate': 0.5, 'left_right_mirror': True, 'random_crop': False, 'weight_decay': 0.001}"
VisionTransformerDeepOpt,"(2.2982664108276367, 2.303981065750122, 2.300565242767334, 2.3078391551971436, 2.3044939041137695, 2.3110358715057373, 2.3061726093292236, 2.314579486846924, 2.3141441345214844, 2.3042657375335693)","(0.0996325759217143, 0.0967529894085601, 0.09868990257382393, 0.09847804643213749, 0.09610795974731445, 0.0969361472176388, 0.10121328681707382, 0.09716342538595199, 0.09557574689388275, 0.10008786926046014)","(0.1005, 0.0986, 0.1006, 0.1001, 0.0989, 0.099, 0.1038, 0.0995, 0.0985, 0.1031)","(2.305598258972168, 2.2982733249664307, 2.2947075366973877, 2.3141212463378906, 2.295525550842285, 2.3005433082580566, 2.2985846996307373, 2.303421974182129, 2.2991809844970703, 2.298565149307251)","(0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1)","(0.1022, 0.1016, 0.1003, 0.098, 0.1016, 0.1003, 0.098, 0.0952, 0.098, 0.0952)","{'dropout_rate': 0.5, 'left_right_mirror': False, 'random_crop': True, 'weight_decay': 0.0001}"
VisionTransformerDeepOpt,"(2.2897958755493164, 2.30342435836792, 2.3045098781585693, 2.3173792362213135, 2.308229923248291, 2.298241138458252, 2.2958109378814697, 2.310059070587158, 2.2976160049438477, 2.3077902793884277)","(0.09692630381323397, 0.09599119261838496, 0.09538409281522035, 0.09499092791229487, 0.10340025633340702, 0.09503638669848442, 0.09892131425440312, 0.1, 0.09800524711608886, 0.0966339036822319)","(0.0977, 0.0978, 0.0968, 0.097, 0.1057, 0.0976, 0.1019, 0.103, 0.1006, 0.0996)","(2.320042610168457, 2.3001832962036133, 2.296071767807007, 2.329622983932495, 2.295881986618042, 2.3031084537506104, 2.3010942935943604, 2.298323631286621, 2.3001868724823, 2.3029625415802)","(0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1)","(0.0952, 0.1003, 0.1016, 0.1022, 0.098, 0.098, 0.098, 0.098, 0.098, 0.0952)","{'dropout_rate': 0.5, 'left_right_mirror': False, 'random_crop': True, 'weight_decay': 0.001}"
VisionTransformerDeepOpt,"(2.322575569152832, 2.306032180786133, 2.2980244159698486, 2.2960870265960693, 2.2982420921325684, 2.304201364517212, 2.295891284942627, 2.3029117584228516, 2.301913261413574, 2.2947590351104736)","(0.09929050356149674, 0.0947164530865848, 0.10042463161516935, 0.09891715161502361, 0.09361635949462652, 0.09811385124921798, 0.09629110554233193, 0.09763079583644867, 0.09860038394108414, 0.09329437101259827)","(0.1001, 0.0962, 0.1025, 0.1011, 0.0961, 0.1002, 0.0989, 0.1003, 0.1015, 0.0958)","(2.3123908042907715, 2.2939822673797607, 2.303859233856201, 2.30208158493042, 2.307704210281372, 2.302828073501587, 2.3088908195495605, 2.3019871711730957, 2.2839813232421875, 2.307969570159912)","(0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1)","(0.098, 0.1003, 0.0952, 0.1003, 0.1003, 0.1003, 0.098, 0.1003, 0.1003, 0.1003)","{'dropout_rate': 0.5, 'left_right_mirror': False, 'random_crop': False, 'weight_decay': 0.0001}"
VisionTransformerDeepOpt,"(2.297783136367798, 2.297530174255371, 2.292433738708496, 2.2826478481292725, 2.2930307388305664, 2.299161195755005, 2.294724941253662, 2.2945797443389893, 2.2986810207366943, 2.3125414848327637)","(0.0955509586725384, 0.09670967450365424, 0.09700822724262252, 0.09715342097915709, 0.1015184543095529, 0.0980092674260959, 0.09867091379128397, 0.09597916533239186, 0.10259471219033003, 0.09841140557546169)","(0.0968, 0.099, 0.0983, 0.0996, 0.1038, 0.1005, 0.1008, 0.0987, 0.1052, 0.1015)","(2.2966039180755615, 2.3098325729370117, 2.29931902885437, 2.309208631515503, 2.310608148574829, 2.311537265777588, 2.302309989929199, 2.3007774353027344, 2.298499584197998, 2.298644781112671)","(0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1)","(0.098, 0.1003, 0.0952, 0.0952, 0.0997, 0.0952, 0.098, 0.0952, 0.0952, 0.0952)","{'dropout_rate': 0.5, 'left_right_mirror': False, 'random_crop': False, 'weight_decay': 0.001}"
VisionTransformerDeepResidualOpt,"(177.87533569335938, 135.09803771972656, 110.30329895019531, 73.88785552978516, 82.62289428710938, 65.2882308959961, 39.8436393737793, 41.03581619262695, 102.68016815185547, 49.23500061035156)","(0.1778797447681427, 0.21941948682069778, 0.2401625022292137, 0.25248077511787415, 0.26427978128194807, 0.26017629653215407, 0.2650767400860786, 0.2678465470671654, 0.2735757127404213, 0.27865901589393616)","(0.178, 0.2197, 0.2401, 0.2527, 0.2643, 0.2602, 0.265, 0.2679, 0.2736, 0.2785)","(234.14158630371094, 101.9277114868164, 142.43545532226562, 103.1957778930664, 134.85470581054688, 60.29357147216797, 55.29544448852539, 61.69623565673828, 52.826908111572266, 77.96652221679688)","(0.181728327088058, 0.21302654258906842, 0.23840096071362496, 0.258856999874115, 0.25102445892989633, 0.25083311051130297, 0.2664759814739227, 0.2763433702290058, 0.25853794924914836, 0.2687953680753708)","(0.1815, 0.2139, 0.2386, 0.259, 0.2507, 0.2517, 0.2667, 0.2778, 0.2596, 0.2685)","{'dropout_rate': 0.25, 'left_right_mirror': True, 'random_crop': True, 'weight_decay': 0.0001}"
VisionTransformerDeepResidualOpt,"(293.1436767578125, 170.13331604003906, 115.695068359375, 97.79706573486328, 152.809814453125, 70.07001495361328, 56.42210388183594, 76.37948608398438, 70.1576919555664, 74.1672592163086)","(0.1777275800704956, 0.21393050998449326, 0.23804432898759842, 0.2475928395986557, 0.2468731939792633, 0.25369696468114855, 0.2619525358080864, 0.2645697951316833, 0.2707192376255989, 0.27502417713403704)","(0.1779, 0.2144, 0.2382, 0.2478, 0.2469, 0.2538, 0.262, 0.2648, 0.2707, 0.2751)","(239.86354064941406, 114.20877075195312, 120.59828186035156, 69.23033905029297, 121.6064453125, 72.57115936279297, 62.1128044128418, 88.58283996582031, 66.3765869140625, 64.00851440429688)","(0.23604488978162408, 0.23309783190488814, 0.2329473864287138, 0.24676845222711563, 0.2431818973273039, 0.23515053316950799, 0.2566546365618706, 0.2795208662748337, 0.24797405004501344, 0.2633456692099571)","(0.2348, 0.2332, 0.2326, 0.247, 0.2428, 0.2355, 0.2576, 0.2799, 0.2476, 0.2626)","{'dropout_rate': 0.25, 'left_right_mirror': True, 'random_crop': True, 'weight_decay': 0.001}"
VisionTransformerDeepResidualOpt,"(151.5707244873047, 173.1712646484375, 67.78900909423828, 66.30036926269531, 69.03213500976562, 57.51410675048828, 60.790870666503906, 42.69260787963867, 42.178157806396484, 50.17535400390625)","(0.21442862302064897, 0.28560893684625627, 0.3233657583594322, 0.34176844656467437, 0.3400328576564789, 0.357774156332016, 0.3711343139410019, 0.3764812260866165, 0.3850414901971817, 0.40112700760364534)","(0.2145, 0.2858, 0.3234, 0.3418, 0.3401, 0.3578, 0.3712, 0.3766, 0.3853, 0.4011)","(88.54972076416016, 173.52908325195312, 130.45819091796875, 69.88461303710938, 76.8489761352539, 76.50892639160156, 80.29328918457031, 45.16140365600586, 37.934749603271484, 49.66053771972656)","(0.22422896143980325, 0.27704449789598584, 0.3068281687796116, 0.292186564207077, 0.3183860532939434, 0.3160208974033594, 0.3461447894573212, 0.3604895055294037, 0.3516450345516205, 0.33377266526222227)","(0.2239, 0.278, 0.3061, 0.293, 0.319, 0.3155, 0.3474, 0.361, 0.3518, 0.3341)","{'dropout_rate': 0.25, 'left_right_mirror': True, 'random_crop': False, 'weight_decay': 0.0001}"
VisionTransformerDeepResidualOpt,"(435.6020812988281, 52.80967712402344, 77.8985595703125, 153.38023376464844, 39.1146240234375, 49.42179870605469, 37.6944580078125, 62.27653503417969, 40.456382751464844, 60.671077728271484)","(0.2124912291765213, 0.2888015851378441, 0.32784868627786634, 0.3226123183965683, 0.3461189717054367, 0.35731123983860014, 0.37185942828655244, 0.3560332030057907, 0.38574006855487825, 0.3995605051517487)","(0.2125, 0.289, 0.3278, 0.3226, 0.3462, 0.3571, 0.3718, 0.3558, 0.3857, 0.3997)","(556.5772705078125, 158.50686645507812, 91.01274108886719, 151.71475219726562, 83.0684814453125, 66.05699920654297, 62.387474060058594, 47.83413314819336, 58.14458465576172, 46.410118103027344)","(0.16990956608206034, 0.2929853456094861, 0.2797738994471729, 0.2668339520692825, 0.31749829947948455, 0.32887616120278834, 0.3407180868089199, 0.3659602880477905, 0.34309865832328795, 0.3452375218272209)","(0.1718, 0.2933, 0.279, 0.2672, 0.3178, 0.328, 0.3411, 0.366, 0.344, 0.3451)","{'dropout_rate': 0.25, 'left_right_mirror': True, 'random_crop': False, 'weight_decay': 0.001}"
VisionTransformerDeepResidualOpt,"(250.6793975830078, 113.2811508178711, 119.05831909179688, 95.53524017333984, 89.05380249023438, 75.97987365722656, 92.49433898925781, 74.68339538574219, 49.85905456542969, 34.0449333190918)","(0.18465305119752884, 0.21797696352005005, 0.2367037296295166, 0.24772588461637496, 0.258504244685173, 0.2656437799334526, 0.2728691652417183, 0.2717601448297501, 0.273506273329258, 0.27182150930166243)","(0.1849, 0.2184, 0.237, 0.2479, 0.2588, 0.266, 0.2729, 0.2719, 0.2735, 0.2718)","(255.06362915039062, 131.81536865234375, 105.92794799804688, 86.74880981445312, 103.24691772460938, 98.05735778808594, 81.90895080566406, 124.66976928710938, 47.42817306518555, 68.15994262695312)","(0.18059048475697637, 0.20369513873010875, 0.22088737785816193, 0.24647034145891666, 0.25198151394724844, 0.26691086366772654, 0.2688090085983276, 0.2712475948035717, 0.27827035188674926, 0.2577500052750111)","(0.1803, 0.2044, 0.2218, 0.2475, 0.251, 0.267, 0.2699, 0.2719, 0.2791, 0.2568)","{'dropout_rate': 0.25, 'left_right_mirror': False, 'random_crop': True, 'weight_decay': 0.0001}"
VisionTransformerDeepResidualOpt,"(114.53065490722656, 127.38917541503906, 101.54405212402344, 59.53434753417969, 112.01393127441406, 92.13999938964844, 105.36532592773438, 102.56759643554688, 74.1423568725586, 70.32601928710938)","(0.17870306968688965, 0.2234332740306854, 0.22978515625, 0.25169940292835236, 0.2630457103252411, 0.24729094356298448, 0.25883298814296724, 0.2625622168183327, 0.264369310438633, 0.2771952345967293)","(0.1788, 0.2238, 0.2301, 0.2518, 0.2631, 0.2474, 0.2591, 0.2627, 0.2645, 0.2773)","(287.80706787109375, 112.4017333984375, 166.53244018554688, 68.76696014404297, 74.0336685180664, 77.57707977294922, 95.394775390625, 91.04247283935547, 90.14583587646484, 50.980289459228516)","(0.20351676607970148, 0.22315289676189423, 0.22843097932636738, 0.26095206663012505, 0.26929410472512244, 0.2466180995106697, 0.25340847223997115, 0.2708627268671989, 0.2511810751631856, 0.2648101359605789)","(0.2055, 0.2239, 0.2287, 0.2618, 0.2699, 0.2479, 0.2546, 0.2715, 0.2511, 0.2657)","{'dropout_rate': 0.25, 'left_right_mirror': False, 'random_crop': True, 'weight_decay': 0.001}"
